Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR13587075,2021-03-15 00:02:31,2021-01-29 23:39:13,14937243,2987448600,14937243,200,1307,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13587/SRR13587075/SRR13587075.lite.1,SRX9981766,S_03,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153078,SAMN17704390,simple,686340,Methylomicrobium album BG8,03_NMS_CH4_1x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,ECAB9ACBE421A30B0F872CCEF5152A6A,D883A70E1562B6F8245C6F32E111C1A4
SRR13587070,2021-03-15 00:02:32,2021-01-29 23:36:17,15923140,3184628000,15923140,200,1382,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13587/SRR13587070/SRR13587070.lite.1,SRX9981771,S_04,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153083,SAMN17704391,simple,686340,Methylomicrobium album BG8,04_AMS_CH4_1x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,E8BEB24D5CD9ECB510B68661BC94BBC9,0AC718461A286B04F62D70A3AF08EB2E
SRR13587069,2021-03-15 00:02:32,2021-01-29 23:35:55,13770305,2754061000,13770305,200,1209,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13587/SRR13587069/SRR13587069.lite.1,SRX9981772,S_05,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153085,SAMN17704392,simple,686340,Methylomicrobium album BG8,05_AMS_CH4_1x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,1F7D23C6245FC101C46C3EBA90C5F55A,B6D407076B80654B8894F83E472DA974
SRR13587068,2021-03-15 00:02:32,2021-01-29 23:37:42,12587854,2517570800,12587854,200,1094,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13587/SRR13587068/SRR13587068.lite.1,SRX9981773,S_06,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153084,SAMN17704393,simple,686340,Methylomicrobium album BG8,06_AMS_CH4_1x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,BEF681C42506FAD639C3D39486062A98,3E38451AFC7F515AF32FD9132DECF051
SRR13587067,2021-03-15 00:02:32,2021-01-29 23:35:50,11253393,2250678600,11253393,200,1076,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13587/SRR13587067/SRR13587067.lite.1,SRX9981774,S_07,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153086,SAMN17704394,simple,686340,Methylomicrobium album BG8,07_NMS_CH3OH_1x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,5323A01F99FB92F80D1AA4E57B03B0E8,B00F68C7D9A7410989BBD6ADC9829B00
SRR13587066,2021-03-15 00:02:32,2021-01-29 23:37:22,12594188,2518837600,12594188,200,1081,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13587/SRR13587066/SRR13587066.lite.1,SRX9981775,S_08,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153088,SAMN17704395,simple,686340,Methylomicrobium album BG8,08_NMS_CH3OH_1x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,33D7DC6C59336D951B23E8B73C275F5A,433E24E5954FCF07ACC387BF6917E916
SRR13587065,2021-03-15 00:02:32,2021-01-29 23:37:45,15726687,3145337400,15726687,200,1339,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13587/SRR13587065/SRR13587065.lite.1,SRX9981776,S_09,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153087,SAMN17704396,simple,686340,Methylomicrobium album BG8,09_NMS_CH3OH_1x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,D618527D10EA3063E6B4F00E1C1D3464,8AA27815C969CA01BFC7221A5D419B6C
SRR13587064,2021-03-15 00:02:32,2021-01-29 23:46:44,19107953,3821590600,19107953,200,1666,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13587/SRR13587064/SRR13587064.lite.1,SRX9981777,S_10,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153089,SAMN17704397,simple,686340,Methylomicrobium album BG8,10_AMS_CH3OH_1x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,5493451EE8025979939388CC1B358836,41EDB48E90B5E4079D26B7ADEE81BC95
SRR21200800,2022-08-25 16:21:48,2022-08-25 16:20:24,14455588,2920028776,14455588,202,828,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21200/SRR21200800/SRR21200800.lite.1,SRX17211801,20ZX-3HB_MX2,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP393957,PRJNA873255,,873255,SRS14779022,SAMN30496949,simple,1091494,Methylotuvimicrobium alcaliphilum 20Z,20ZX-3HB-MX,,,,,,,no,,,,,KYUNG HEE UNIVERSITY,SRA1483527,,public,ED444A0C91D124F790B7D1916F2A40C1,F81F7B4CF4F3AF7501F558653648C817
SRR21201137,2022-08-25 16:58:54,2022-08-25 16:46:19,12954479,1681552939,3694560,129,483,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21201/SRR21201137/SRR21201137.lite.1,SRX17212138,20ZX-3HB-MX1,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP393957,PRJNA873255,,873255,SRS14779022,SAMN30496949,simple,1091494,Methylotuvimicrobium alcaliphilum 20Z,20ZX-3HB-MX,,,,,,,no,,,,,KYUNG HEE UNIVERSITY,SRA1483561,,public,942C2E1A2C9AB3405CDC67611E558690,1B77C823D088D20213BD99772C42E70A
SRR21197997,2022-08-26 15:19:41,2022-08-26 15:14:33,10961216,2214165632,10961216,202,663,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21197/SRR21197997/SRR21197997.lite.1,SRX17208998,20ZX-3HB-Y-T7-M2,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP393957,PRJNA873255,,873255,SRS14777280,SAMN30497128,simple,1091494,Methylotuvimicrobium alcaliphilum 20Z,20ZX-3HB-Y-T7-M,,,,,,,no,,,,,KYUNG HEE UNIVERSITY,SRA1483486,,public,294832B0991B2E7851050AE46B23CA2A,5342E8FF25F68C0FAEA488718B569732
SRR21197998,2022-08-25 13:56:35,2022-08-25 13:48:29,13954100,2818728200,13954100,202,818,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR021/21197/SRR21197998/SRR21197998.lite.1,SRX17208999,20ZX-3HB-Y-T7-M1,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP393957,PRJNA873255,,873255,SRS14777280,SAMN30497128,simple,1091494,Methylotuvimicrobium alcaliphilum 20Z,20ZX-3HB-Y-T7-M,,,,,,,no,,,,,KYUNG HEE UNIVERSITY,SRA1483462,,public,9AFC3BF24DC5B32AC002D6E07B42708E,3B3CDDDC1251380905CF6610145CA3B4
SRR21200683,2022-08-26 15:23:41,2022-08-26 15:20:30,12771757,2579894914,12771757,202,779,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21200/SRR21200683/SRR21200683.lite.1,SRX17211684,20ZX-3HB-Y-T7-MX1,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP393957,PRJNA873255,,873255,SRS14778941,SAMN30497823,simple,1091494,Methylotuvimicrobium alcaliphilum 20Z,20ZX-3HB-Y-T7-MX,,,,,,,no,,,,,KYUNG HEE UNIVERSITY,SRA1483502,,public,79BA630DE7299E7B8E7E3AD81F077AFE,6625A6CC52DEEC8C49B08038C092B897
SRR21200801,2022-08-26 15:23:41,2022-08-26 15:21:08,16379755,3308710510,16379755,202,997,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-3/SRR021/21200/SRR21200801/SRR21200801.lite.1,SRX17211802,20ZX-3HB-Y-T7_MX2,RNA-Seq,unspecified,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP393957,PRJNA873255,,873255,SRS14778941,SAMN30497823,simple,1091494,Methylotuvimicrobium alcaliphilum 20Z,20ZX-3HB-Y-T7-MX,,,,,,,no,,,,,KYUNG HEE UNIVERSITY,SRA1483572,,public,165F97EA61DFFAF0F2731FAB2DEC8A6E,26EC7196B882160EE26B50281FE9D204
SRR13587074,2021-03-15 00:02:31,2021-01-29 23:36:33,12160873,2432174600,12160873,200,1040,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13587/SRR13587074/SRR13587074.lite.1,SRX9981767,S_21,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153079,SAMN17704408,simple,686340,Methylomicrobium album BG8,21_NMS_CH3OH_0x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,DA2BCB6E773853CF900985CE0DB54624,8C9464810D2E297CF3989695A87B631B
SRR13587073,2021-03-15 00:02:31,2021-01-29 23:39:16,16531520,3306304000,16531520,200,1418,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13587/SRR13587073/SRR13587073.lite.1,SRX9981768,S_22,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153080,SAMN17704409,simple,686340,Methylomicrobium album BG8,22_AMS_CH3OH_0x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,C42682703BCEEDE8A65B69F66E8BB05A,7668ABCC0CCE441DD1CA85A85BF1A1B4
SRR13587072,2021-03-15 00:02:31,2021-01-29 23:34:58,12587272,2517454400,12587272,200,1073,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR013/13587/SRR13587072/SRR13587072.lite.1,SRX9981769,S_23,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153081,SAMN17704410,simple,686340,Methylomicrobium album BG8,23_AMS_CH3OH_0x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,A3BF2C4DDD51E13B81C6CE2BB713DCFE,EFA0AE9565345D2EB6AD098BB8F4281B
SRR13587071,2021-03-15 00:02:32,2021-01-29 23:37:38,12841498,2568299600,12841498,200,1091,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR013/13587/SRR13587071/SRR13587071.lite.1,SRX9981770,S_24,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 4000,SRP303910,PRJNA698057,,698057,SRS8153082,SAMN17704411,simple,686340,Methylomicrobium album BG8,24_AMS_CH3OH_0x,,,,,,,no,,,,,UNIVERSITY OF ALBERTA,SRA1189600,,public,DB29AA96ECB367C0CAC14A58435B5FC7,02C96D8BFD3CFD849E8AD33853775371
SRR16947467,2021-11-18 11:20:55,2021-11-15 12:09:14,33389242,10016772600,33389242,300,3570,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16947/SRR16947467/SRR16947467.lite.1,SRX13139357,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP346133,PRJNA780482,3,780482,SRS11072545,SAMN23162070,simple,686340,Methylomicrobium album BG8,GSM5690621,,,,,,,no,,,,,GEO,SRA1329170,,public,B037C7D59A5C31DC812E236BB4EBE7DC,F3F80B032FECBA87919DB689A7F4EE7D
SRR16947468,2021-11-18 11:20:55,2021-11-15 12:52:26,101900565,30570169500,101900565,300,10903,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16947/SRR16947468/SRR16947468.lite.1,SRX13139358,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP346133,PRJNA780482,3,780482,SRS11072546,SAMN23162082,simple,686340,Methylomicrobium album BG8,GSM5690622,,,,,,,no,,,,,GEO,SRA1329170,,public,F8970D7752D737E7C064F05E50649CE5,21FDC24C5051A64397F315BA5D83F032
SRR16947469,2021-11-18 11:20:56,2021-11-15 11:45:31,13329204,3998761200,13329204,300,1405,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-24/SRR016/16947/SRR16947469/SRR16947469.lite.1,SRX13139359,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP346133,PRJNA780482,3,780482,SRS11072547,SAMN23162091,simple,686340,Methylomicrobium album BG8,GSM5690623,,,,,,,no,,,,,GEO,SRA1329170,,public,7108392BBF6689EF7C60C70225D92B5D,D9195A0C9051593CA73B6440B74056E6
SRR16947470,2021-11-18 11:20:56,2021-11-15 11:59:27,24473600,7342080000,24473600,300,2608,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR016/16947/SRR16947470/SRR16947470.lite.1,SRX13139360,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,HiSeq X Ten,SRP346133,PRJNA780482,3,780482,SRS11072550,SAMN23162100,simple,686340,Methylomicrobium album BG8,GSM5690624,,,,,,,no,,,,,GEO,SRA1329170,,public,ACAAE184C7CC6344C63460592C6E0B59,24E2E1E5A6097E8383254EDFE57BA239
